1,"WAP (feat. Megan Thee Stallion)","Cardi B",44519875,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2,Hawái,Maluma,37497532,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
3,"Mood (feat. iann dior)",24kGoldn,37448924,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,Dynamite,BTS,28343499,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
5,"Blinding Lights","The Weeknd",26181061,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"Watermelon Sugar","Harry Styles",26120174,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
7,"Savage Love (Laxed - Siren Beat)","Jawsh 685",25664441,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
8,"Laugh Now Cry Later (feat. Lil Durk)",Drake,24263826,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
9,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,24141172,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
10,"Ice Cream (with Selena Gomez)",BLACKPINK,19994113,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
11,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",19167576,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
12,Heather,"Conan Gray",18431861,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
13,"Head & Heart (feat. MNEK)","Joel Corry",17724895,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
14,"Mood Swings (feat. Lil Tjay)","Pop Smoke",17712509,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
15,"Breaking Me",Topic,17663729,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
16,"Roses - Imanbek Remix","SAINt JHN",17619610,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
17,"Ay, DiOs Mío!","KAROL G",16926583,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
18,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",16175753,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI
19,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",15604712,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
20,"POPSTAR (feat. Drake)","DJ Khaled",14977351,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
21,"La Curiosidad","Jay Wheeler",14735180,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
22,Caramelo,Ozuna,14520825,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
23,"Come & Go (with Marshmello)","Juice WRLD",14466571,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
24,"you broke me first","Tate McRae",14144803,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
25,"Dance Monkey","Tones And I",14033358,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
26,"La Jeepeta - Remix","Nio Garcia",13954221,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
27,"Tattoo - Remix with Camilo","Rauw Alejandro",13778030,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
28,"Rain On Me (with Ariana Grande)","Lady Gaga",13381395,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
29,"Midnight Sky","Miley Cyrus",13329803,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
30,"Someone You Loved","Lewis Capaldi",13135910,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
31,Relación,Sech,12602120,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
32,"Wishing Well","Juice WRLD",12563974,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
33,"Before You Go","Lewis Capaldi",12553921,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
34,"Smile (with The Weeknd)","Juice WRLD",12486046,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
35,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",12382594,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
36,"death bed (coffee for your head)",Powfu,12340202,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
37,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,12056457,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
38,"GREECE (feat. Drake)","DJ Khaled",11773788,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
39,"Go Crazy","Chris Brown",11683727,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
40,"Relación - Remix",Sech,11507291,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
41,"Don't Start Now","Dua Lipa",11198787,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
42,"Blueberry Faygo","Lil Mosey",11058413,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
