1,"WAP (feat. Megan Thee Stallion)","Cardi B",45977242,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2,Hawái,Maluma,41071843,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
3,"Mood (feat. iann dior)",24kGoldn,32748607,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,Dynamite,BTS,32014725,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
5,"Ice Cream (with Selena Gomez)",BLACKPINK,27060455,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
6,"Savage Love (Laxed - Siren Beat)","Jawsh 685",27014291,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
7,"Watermelon Sugar","Harry Styles",26563881,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
8,"Blinding Lights","The Weeknd",26535713,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,25414631,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
10,"Laugh Now Cry Later (feat. Lil Durk)",Drake,25243233,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
11,"Roses - Imanbek Remix","SAINt JHN",18202210,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
12,"Mood Swings (feat. Lil Tjay)","Pop Smoke",18095558,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
13,"Breaking Me",Topic,17345990,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
14,"Ay, DiOs Mío!","KAROL G",17339792,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
15,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",17046240,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
16,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",16819415,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
17,"Head & Heart (feat. MNEK)","Joel Corry",16595901,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
18,Heather,"Conan Gray",16514714,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
19,"La Curiosidad","Jay Wheeler",15111956,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
20,"Come & Go (with Marshmello)","Juice WRLD",15072027,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
21,"La Jeepeta - Remix","Nio Garcia",14901849,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
22,"Tattoo - Remix with Camilo","Rauw Alejandro",14509504,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
23,Caramelo,Ozuna,14507898,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
24,"Over Now (with The Weeknd)","Calvin Harris",14421010,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR
25,"Dance Monkey","Tones And I",14292075,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
26,"Smile (with The Weeknd)","Juice WRLD",13730488,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
27,"Rain On Me (with Ariana Grande)","Lady Gaga",13686121,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
28,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",13621877,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI
29,Relación,Sech,13379804,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
30,"Midnight Sky","Miley Cyrus",13323071,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
31,"death bed (coffee for your head)",Powfu,13231249,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
32,"Someone You Loved","Lewis Capaldi",13231194,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
33,"Wishing Well","Juice WRLD",13218725,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
34,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,13148995,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
35,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",12634058,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
36,"Before You Go","Lewis Capaldi",12583921,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
37,"you broke me first","Tate McRae",12423487,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
38,"How You Like That",BLACKPINK,12363466,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
39,"Go Crazy","Chris Brown",11814276,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
40,"Don't Start Now","Dua Lipa",11517192,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
41,"Break My Heart","Dua Lipa",11400947,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
42,"Blueberry Faygo","Lil Mosey",11377942,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
43,"GREECE (feat. Drake)","DJ Khaled",11366154,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
44,MAMACITA,"Black Eyed Peas",11290949,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
45,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",11255664,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
46,"Djadja (feat. Maluma) - Remix","Aya Nakamura",11158507,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
47,"ily (i love you baby) (feat. Emilee)","Surf Mesa",10964565,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
48,"Stuck with U (with Justin Bieber)","Ariana Grande",10444364,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
49,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,10315187,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
50,"Kings & Queens","Ava Max",10301846,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
51,"Mamichula - con Nicki Nicole",Trueno,10300977,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
52,"Party Girl",StaySolidRocky,10115295,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
53,"Toosie Slide",Drake,9690852,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
54,"Still Don't Know My Name",Labrinth,9488078,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
55,Circles,"Post Malone",9399809,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
56,"Take You Dancing","Jason Derulo",9325537,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
57,"The Box","Roddy Ricch",9287611,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
58,"Adore You","Harry Styles",9230603,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
59,goosebumps,"Travis Scott",8749559,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
60,Tusa,"KAROL G",8539523,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
61,"Mi Cuarto","Jerry Di",8537616,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
62,"Lucid Dreams","Juice WRLD",8496648,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
63,"Electric Love",BØRNS,8403387,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
64,cardigan,"Taylor Swift",8335499,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
65,"Blastoff (feat. Juice Wrld & Trippie Redd)","Internet Money",8323656,https://open.spotify.com/track/2rFsFjq0D9JAmc0APpCO6P
