1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,36999793,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Savage Love (Laxed - Siren Beat)","Jawsh 685",34262951,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
3,"Blinding Lights","The Weeknd",30727192,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Come & Go (with Marshmello)","Juice WRLD",30027587,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
5,"Watermelon Sugar","Harry Styles",26440765,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
6,"Roses - Imanbek Remix","SAINt JHN",25447045,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,"Wishing Well","Juice WRLD",25364600,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
8,"Life's A Mess (feat. Halsey)","Juice WRLD",23220482,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
9,Conversations,"Juice WRLD",21350095,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P
10,"Party Girl (Remix)",StaySolidRocky,19978914,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
11,"Breaking Me",Topic,19829211,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
12,"death bed (coffee for your head)",Powfu,19318965,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
13,"Rain On Me (with Ariana Grande)","Lady Gaga",19254574,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
14,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",19071066,https://open.spotify.com/track/66FgjA5ZQJJuypFG1bc8se
15,Righteous,"Juice WRLD",18299374,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
16,"How You Like That",BLACKPINK,18058671,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
17,"Dance Monkey","Tones And I",17926552,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
18,"ily (i love you baby) (feat. Emilee)","Surf Mesa",17292358,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
19,"Toosie Slide",Drake,17162025,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
20,"La Jeepeta - Remix","Nio Garcia",16905728,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
21,"Don't Start Now","Dua Lipa",16617178,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
22,"Break My Heart","Dua Lipa",16398677,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
23,"Blueberry Faygo","Lil Mosey",15795906,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
24,Titanic,"Juice WRLD",15319731,https://open.spotify.com/track/1QoG0Yqz1onMsdbOibZVke
25,"Blood On My Jeans","Juice WRLD",15277814,https://open.spotify.com/track/3MmCFghNjzZMn3HKqbVizn
26,MAMACITA,"Black Eyed Peas",15276203,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
27,"Bad Energy","Juice WRLD",14794484,https://open.spotify.com/track/0JoWBcL61YWLXM5vW0YTHO
28,"Stuck with U (with Justin Bieber)","Ariana Grande",14714531,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
29,Relación,Sech,14283687,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
